hour,n_bins,lambda,se,t_stat,p_value,r_squared
2026-09-20 15:00:00,50,55.31367483563598,37.36960248079803,1.4801783043867893,0.14535985877409843,0.04365186913758534
2026-09-20 16:00:00,60,-16.13743466883647,29.001586287455893,-0.5564328278076438,0.5800556119385369,0.005309887205232289
2026-09-20 17:00:00,60,68.15395936539879,31.15719555155464,2.187422781765676,0.032756215387410054,0.07620979953637586
2026-09-20 18:00:00,60,3.736488603031625,3.2393150915171782,1.1534810592573719,0.2534443207458387,0.022425533881910487
2026-09-20 19:00:00,60,24.73788553261005,24.048545844370494,1.028664506066213,0.30790819541571696,0.017917097879072474
2026-09-20 20:00:00,60,127.02196806929754,28.545140529177278,4.44986311906444,3.9550587475542794e-05,0.25451099680860023
2026-09-20 21:00:00,60,11.964370150977137,4.646964959779068,2.5746633027217753,0.01260807161053217,0.1025685418279827
2026-09-20 22:00:00,60,134.85596425399592,39.251989960362906,3.435646559325399,0.001098726095565381,0.16909809671109077
2026-09-20 23:00:00,60,62.306007423772925,39.456445107982844,1.5791084892026208,0.11975003820323339,0.041220629882136706
2026-09-21 00:00:00,60,4.347023900122344,18.578550472226528,0.23398078911596482,0.8158238367029098,0.0009430238265647484
2026-09-21 01:00:00,60,47.457083547748596,17.22607386502494,2.754956464229691,0.007829464712724409,0.11571596256853223
2026-09-21 02:00:00,60,128.8561817257916,26.749337598359087,4.817172808559422,1.0846384167453443e-05,0.2857596194618448
2026-09-21 03:00:00,60,63.452392116507724,36.38359996728646,1.7439833379203706,0.0864600334735201,0.049826412931488484
