bucket_end_time,buy_volume,sell_volume,bucket_size,vpin
1789940729.2431393,0.3060392,0.0,0.3060392,0.7434042697798189
1789940729.473116,0.3060392,0.0,0.3060392,0.7735624978760889
1789940730.3712852,0.3060392,0.0,0.3060392,0.8000821855500864
1789940730.583798,0.3060392,0.0,0.3060392,0.8314981871603375
1789941624.522077,0.23144920000000024,0.07459000000000002,0.3060392,0.8415367443124931
1789943947.2995794,0.1310892000000001,0.17495,0.3060392,0.8214070354385973
1789948018.6561108,0.1262739999999999,0.17976519999999988,0.3060392,0.7883984535314429
1789949045.1206706,0.06518,0.24085920000000002,0.3060392,0.7713601133449571
1789949208.8996537,0.12896999999999997,0.1770691999999999,0.3060392,0.7376467851177235
1789949586.6964097,0.10590279999999974,0.20013640000000024,0.3060392,0.7099633249596785
1789949587.5749454,0.3060392,0.0,0.3060392,0.7099633249596785
1789950648.3245084,0.21679800000000027,0.0892411999999997,0.3060392,0.686635280709138
1789951155.2941802,0.12199,0.1840492,0.3060392,0.685207698883019
1789951788.052375,0.1403595999999997,0.1656796000000003,0.3060392,0.6861514734060215
1789953668.2622666,0.24925919999999993,0.05678,0.3060392,0.6953319966853921
1789953668.2627866,0.3060392,0.0,0.3060392,0.7173077435831752
1789953668.2628758,0.3060392,0.0,0.3060392,0.7211430692538735
1789953743.6296272,0.27884280000000033,0.027196399999999687,0.3060392,0.7140338100478635
1789953773.9901655,0.28152559999999965,0.024513600000000316,0.3060392,0.70762584662357
1789953773.9908347,0.3060392,0.0,0.3060392,0.70762584662357
1789953819.9005692,0.19253920000000008,0.11350000000000002,0.3060392,0.6779564447953075
1789954011.9816384,0.18372600000000008,0.12231319999999993,0.3060392,0.645983233520412
1789956169.54209,0.12237240000000005,0.18366680000000013,0.3060392,0.61399454710377
1789956679.5800908,0.2306875999999999,0.0753516000000001,0.3060392,0.6011951410146152
1789959457.655389,0.03866000000000001,0.2673792,0.3060392,0.5910892460835084
1789963558.6856027,0.17835,0.12768919999999992,0.3060392,0.5577107246391968
